Code,Name,C,M,Y,K,R,G,B
PC 912,Apple Green,53,6,84,0,120,240,41
PC 905,Aquamarine,84,27,47,4,39,179,130
PC 1098,Artichoke,24,29,99,1,192,179,3
PC 997,Beige,6,25,44,0,240,191,143
PC 1080,Beige Sienna,28,37,26,0,184,161,189
PC 935,Black,75,68,67,90,6,8,8
PC 1078,Black Cherry,43,100,53,49,74,0,61
PC 996,Black Grape,98,100,17,6,5,0,199
PC 1095,Black Raspberry,25,95,79,53,90,6,25
PC 1102,Blue Lake,74,50,0,0,66,128,255
PC 1024,Blue Slate,43,12,0,0,145,224,255
PC 1079,Blue Violet Lake,100,93,19,5,0,17,196
PC 928,Blush Pink,0,32,21,0,255,173,201
PC 1028,Bronze,26,32,54,1,187,172,116
PC 943,Burnt Ochre,25,58,74,8,176,99,61
PC 118,Cadmium Orange Hue,0,65,65,0,244,122,92
PC 916,Canary Yellow,4,0,93,0,245,255,18
PC 1103,Caribbean Sea,56,21,0,0,112,201,255
PC 926,Carmine Red,0,79,62,0,255,54,97
PC 1020,Celadon Green,31,11,21,0,176,227,201
PC 103,Cerulean Blue,100,50,0,0,0,114,188
PC 989,Chartreuse,27,11,99,0,186,227,3
PC 1081,Chestnut,29,86,100,32,123,24,0
PC 1100,China Blue,86,71,0,0,36,74,255
PC 1082,Chocolate,39,63,78,30,109,66,39
PC 1017,Clay Rose,28,37,26,0,184,161,189
PC 1023,Cloud Blue,21,3,0,0,201,247,255
PC 133,Cobalt Blue Hue,100,60,0,5,0,97,170
PC 105,Cobalt Turquoise,90,5,20,30,0,129,152
PC 1059,Cool Grey 10,3,1,1,0,247,252,252
PC 1060,Cool Grey 20,3,5,2,0,247,242,250
PC 1061,Cool Grey 30,14,5,5,0,219,242,242
PC 1063,Cool Grey 50,21,11,11,0,201,227,227
PC 1065,Cool Grey 70,60,38,33,3,99,153,166
PC 1067,Cool Grey 90,75,58,50,31,44,74,88
PC 906,Copenhagen Blue,85,45,0,0,38,140,255
PC 914,Cream,1,0,15,0,252,255,217
PC 925,Crimson Lake,30,100,69,30,125,0,55
PC 924,Crimson Red,15,98,94,5,206,5,15
PC 1009,Dahlia Purple,64,99,2,0,92,3,250
PC 946,Dark Brown,59,53,65,33,70,80,60
PC 908,Dark Green,89,33,82,23,22,132,35
PC 931,Dark Purple,52,78,44,25,92,42,107
PC 947,Dark Umber,63,61,67,56,42,44,37
PC 1013,Deco Peach,0,25,17,0,251,201,193
PC 1014,Deco Pink,0,20,4,0,251,212,220
PC 1011,Deco Yellow,0,0,75,0,255,244,95
PC 1101,Denim Blue,94,84,1,0,15,41,252
PC 132,Dioxazine Purple Hue,100,70,0,20,0,74,143
PC 140,Eggshell,0,10,35,3,247,220,169
PC 1040,Electric Blue,65,6,0,0,89,240,255
PC 1099,Espresso,49,65,86,57,56,38,15
PC 1068,French Grey 10%,4,6,6,0,245,240,240
PC 1069,French Grey 20%,7,9,9,0,237,232,232
PC 1070,French Grey 30%,15,17,18,0,217,212,209
PC 1072,French Grey 50%,29,31,28,0,181,176,184
PC 1074,French Grey 70%,44,43,41,4,137,140,144
PC 1076,French Grey 90%,61,60,55,33,67,68,77
PC 1084,Ginger Root,9,14,40,0,232,219,153
PC 1034,Goldenrod,4,29,93,0,245,181,18
PC 909,Grass Green,84,11,96,1,40,225,10
PC 1091,Green Ochre,42,48,100,20,118,106,0
PC 289,Grey Green Light,9,0,11,0,230,243,229
PC 1026,Greyed Lavender,17,21,4,0,212,201,245
PC 1031,Henna,25,74,56,8,176,61,103
PC 993,Hot Pink,0,52,1,0,255,122,252
PC 1007,Imperial Violet,82,63,0,0,46,94,255
PC 208,Indanthrone Blue,100,75,15,30,0,61,113
PC 901,Indigo Blue,100,77,30,14,0,50,154
PC 1021,Jade Green,55,14,27,0,115,219,186
PC 1012,Jasmine,2,10,99,0,250,230,3
PC 1096,Kelley Green,71,10,99,1,73,227,3
PC 1090,Kelp Green,69,42,100,36,51,95,0
PC 934,Lavender,20,50,10,0,204,128,230
PC 915,Lemon Yellow,4,0,93,0,245,255,18
PC 992,Light Aqua,73,1,27,0,69,252,186
PC 904,Light Cerulean Blue,62,12,0,0,97,224,255
PC 920,Light Green,54,0,43,0,117,255,145
PC 927,Light Peach,1,16,20,0,252,214,204
PC 941,Light Umber,42,52,65,19,120,99,72
PC 956,Lilac,40,54,19,1,151,116,204
PC 1005,Limepeel,32,11,100,0,173,227,0
PC 930,Magenta,13,100,7,0,222,0,237
PC 1029,Mahogany Red,43,71,42,14,125,64,127
PC 988,Marine Green,88,43,100,51,15,71,0
PC 1022,Mediterranean Blue,81,32,5,0,48,173,242
PC 950,Metallic Gold,29,32,60,1,179,172,101
PC 949,Metallic Silver,30,23,19,0,178,196,207
PC 1033,Mineral Orange,4,61,84,0,245,99,41
PC 1097,Moss Green,58,39,100,22,84,121,0
PC 995,Mulberry,44,99,0,0,143,3,255
PC 1088,Muted Turquoise,76,26,37,1,61,187,159
PC 1092,Nectar,15,52,75,1,215,121,63
PC 1036,Neon Orange,0,65,70,0,244,122,85
PC 1038,Neon Pink,0,70,0,0,241,115,172
PC 1035,Neon Yellow,3,0,100,0,254,238,0
PC 919,Non Photo Blue,62,0,10,0,97,255,230
PC 911,Olive Green,86,23,78,8,33,181,52
PC 918,Orange,0,70,89,0,255,77,28
PC 1089,Pale Sage,12,0,29,0,224,255,181
PC 921,Pale Vermillon,0,58,93,0,255,107,18
PC 1008,Parma Violet,54,52,0,0,117,122,255
PC 1006,Parrot Green,81,11,61,1,48,225,98
PC 939,Peach,0,43,54,0,255,145,117
PC 1085,Peach Beige,0,23,36,0,255,196,163
PC 1027,Peacock Blue,87,43,18,1,33,144,207
PC 907,Peacock Green,87,35,48,10,30,149,119
PC 1025,Periwinkle,64,26,0,0,92,189,255
PC 122,Permanent Red,0,90,65,0,239,64,80
PC 929,Pink,0,64,15,0,255,92,217
PC 1018,Pink Rose,6,31,16,0,240,176,214
PC 195,Pomegranate,0,75,15,30,164,73,111
PC 922,Poppy Red,0,79,92,0,255,54,20
PC 1087,Powder Blue,26,10,0,0,189,230,255
PC 994,Process Red,22,99,1,0,199,3,252
PC 109,Prussian Green,80,0,100,40,0,121,50
