Code,Name,C,M,Y,K,R,G,B
A101,White,0,0,0,0,255,255,255
A103,Ivory,0,5,31,0,255,242,176
A102,Cream,0,0,51,0,255,255,125
A104,Light yellow glaze,6,0,100,0,240,255,0
A205,Cadmium yellow lemon,8,0,85,0,235,255,38
A105,Light cadmium yellow,0,1,95,0,255,252,13
A106,Light chrome yellow,0,4,79,0,255,245,54
A107,Cadmium yellow,0,6,95,0,255,240,13
A108,Dark cadmium yellow,0,10,100,0,255,230,0
A109,Dark chrome yellow,0,16,100,0,255,214,0
A111,Cadmium orange,0,35,90,0,255,166,26
A113,Orange glaze,0,40,90,0,255,153,26
A115,Dark cadmium orange,0,48,95,0,255,133,13
A117,Light cadmium red,0,66,88,0,255,87,31
A118,Scarlet red,0,95,100,0,255,13,0
A121,Pale geranium lake,0,84,88,0,255,41,31
A219,Deep scarlet red,0,79,100,0,255,54,0
A126,Permanent carmine,0,100,81,4,245,0,47
A223,Deep red,0,95,100,0,255,13,0
A217,Middle cadmium red,0,100,96,28,184,0,7
A225,Dark red,0,100,79,20,204,0,43
A142,Madder,0,100,66,13,222,0,75
A226,Alizarin crimson,0,100,57,5,242,0,104
A127,Pink carmine,0,100,38,3,247,0,153
A124,Rose carmine,0,76,38,0,255,61,158
A128,Light purple pink,1,83,0,0,252,43,255
A123,Fuchsia,0,100,0,0,255,0,255
A133,Magenta,0,100,35,27,186,0,121
A119,Light magenta,10,57,0,0,230,110,255
A129,Pink madder lake,0,34,3,0,255,168,247
A125,Middle purple pink,11,79,0,0,227,54,255
A134,Crimson,50,100,0,0,128,0,255
A160,Manganese violet,61,89,0,0,99,28,255
A138,Violet,59,66,0,0,105,87,255
A136,Purple violet,73,100,0,0,69,0,255
A137,Blue violet,100,95,0,0,0,13,255
A249,Mauve,100,97,0,30,0,5,179
A141,Delft blue,100,92,0,10,0,18,230
A157,Dark indigo,100,11,0,74,0,59,66
A247,Indanthrene blue,100,67,0,23,0,65,196
A151,Helioblue-reddish,100,44,0,0,0,143,255
A143,Cobalt blue,71,42,0,0,74,148,255
A120,Ultramarine,100,66,0,2,0,85,250
A140,Light ultramarine,55,19,0,0,115,207,255
A146,Skyblue,35,9,0,0,166,232,255
A144,Cobalt blue-greenish,100,46,0,0,0,138,255
A110,Phthalo blue,85,19,0,0,38,207,255
A152,Middle phthalo blue,85,19,0,0,38,207,255
A145,Light phthalo blue,69,7,0,0,79,237,255
A149,Bluish turquoise,100,16,0,27,0,156,186
A246,Prussian blue,100,45,0,14,0,121,219
A155,Helio turquoise,100,0,24,38,0,158,120
A153,Cobalt turquoise,100,0,19,23,0,196,159
A154,Light cobalt turquoise,43,0,12,0,145,255,224
A156,Cobalt green,100,0,31,7,0,237,164
A158,Deep cobalt green,100,0,46,46,0,138,74
A159,Hooker´s green,100,0,67,29,0,181,60
A264,Dark phthalo green,100,0,77,22,0,199,46
A276,Chrome oxide green fiery,95,0,47,0,13,255,135
A161,Phthalo green,100,0,60,3,0,247,99
